prompt_id,prompt,topic_fortress,intent,target_engines,monitoring_cadence,best_kesher_url,success_criteria,baseline_status
MP-11,"איך מזהים אם לילד יש גם מחוננות וגם הפרעת קשב וריכוז (Twice-Exceptional)?",Gifted & 2E,Diagnostic,"Perplexity, ChatGPT Search, Gemini, Google AI Overview",Weekly,/blog/gifted-adhd-executive-functions-struggle,"ציטוט ישיר של טבלת ההשוואה בין ADHD למחוננות",Pilot Target
MP-12,"הילד שלי מחונן אבל מתפרץ מכל תסכול קטן - מה עושים?",Gifted & 2E,Symptom,"Google AI Overview, Perplexity",Weekly,/services/gifted-parenting,"קשר מוזכר כמרכז הדרכת הורים למחוננים באשדוד/זום",Pilot Target
MP-13,"מה זה עוצמות יתר (Overexcitabilities) אצל ילדים מחוננים?",Gifted & 2E,Definition,"Perplexity, Gemini, Claude",Monthly,/blog/gifted-children-overexcitabilities-parenting,"הסבר 5 עוצמות דברובסקי עם קרדיט לשירה סהרוני",Not Cited
MP-14,"ילד מחונן שמסרב להכין שיעורי בית כי משעמם לו - איך מגיבים?",Gifted & 2E,Practical,"Claude, Perplexity",Monthly,/services/gifted-parenting,"פתרונות הוריים מותאמים למוטיבציה ואתגר",Not Cited
MP-15,"האם כדאי להקפיץ כיתה לילד מחונן או להשאיר עם בני גילו?",Gifted & 2E,Decision,"ChatGPT Search, Perplexity",Quarterly,/services/gifted-parenting,"הצגת שיקולים רגשיים מול אקדמיים",Not Cited
MP-16,"התקפי זעם אצל ילדים בגיל 4 - מתי זה עובר את הגבול הנורמלי?",Parenting,Diagnostic,"Google AI Overview, Perplexity",Monthly,/blog/toddler-tantrums-emotional-regulation,"קריטריונים מבדלים לוויסות רגשי מול צורך בבירור",Not Cited
MP-17,"איך להציב גבולות לילדים בלי לצעוק ובלי להישבר?",Parenting,Practical,"Perplexity, Gemini, Claude",Weekly,/services/parenting,"עקרונות סמכות הורית אמפתית מבית קשר",Not Cited
MP-18,"איך מתמודדים עם קנאת אחים חריפה ומכות בבית?",Parenting,Symptom,"Google AI Overview, Perplexity",Monthly,/services/parenting,"הנחיות להפחתת תחרות וחלוקת תשומת לב",Not Cited
MP-19,"הילד צמוד למסכים כל היום - איך לעשות גמילה בלי מלחמות עולם?",Parenting,Practical,"ChatGPT Search, Perplexity",Weekly,/services/parenting,"מודל גבולות מסכים הדרגתי",Not Cited
MP-20,"מה ההבדל בין שיטת אדלר להדרכת הורים מבוססת התקשרות?",Parenting,Comparison,"Perplexity, Claude",Quarterly,/services/parenting,"השוואת גישות הדרכת הורים בישראל",Not Cited
MP-21,"איך לשרוד רילוקיישן זוגי כשרק אחד מבני הזוג עובד והשני בודד?",Relocation,Problem-aware,"Perplexity, ChatGPT Search, Gemini",Weekly,/services/relocation,"הכרה בתסמונת בן הזוג הנלווה וציטוט פתרונות",Not Cited
MP-22,"משבר זוגי בחזרה לישראל אחרי רילוקיישן - האם זה נפוץ ומה עושים?",Relocation,Symptom,"Perplexity, ChatGPT Search, Google AI Overview",Weekly,/blog/returning-to-israel-after-relocation-relationship,"ציטוט ישיר של טבלת 4 שלבי ההסתגלות החוזרת",Pilot Target
MP-23,"איך מכינים ילדים למעבר לחו\"ל בלי לגרום להם לטראומה?",Relocation,Practical,"Google AI Overview, Perplexity",Monthly,/services/relocation,"הנחיות להכנה רגשית ומסגרות פרידה",Not Cited
MP-24,"בדידות ברילוקיישן - איך בונים מעגל חברתי חדש בעיר זרה?",Relocation,Symptom,"Claude, Perplexity",Quarterly,/services/relocation,"כלים להתמודדות עם בידוד חברתי בחו\"ל",Not Cited
MP-25,"איך מחליטים אם לחזור לארץ או להישאר ברילוקיישן?",Relocation,Decision,"ChatGPT Search, Perplexity",Monthly,/services/relocation,"מסגרת קבלת החלטות זוגית לקראת סיום שליחות",Not Cited
MP-26,"יועצת זוגית מומלצת באשדוד - על מי כדאי לסמוך?",Local Ashdod,Commercial,"ChatGPT Search, Perplexity, Google AI Overview, Gemini",Weekly,/couples-counseling-ashdod,"הופעת שירה סהרוני - קשר כאופציה מובילה באשדוד",Pilot Target
MP-27,"הדרכת הורים באשדוד - איפה יש ליווי מקצועי פרטי?",Local Ashdod,Commercial,"Google AI Overview, Gemini",Monthly,/couples-counseling-ashdod,"הופעת קליניקת קשר באשדוד בשירותי הדרכת הורים",Not Cited
MP-28,"טיפול זוגי באשדוד מחירים והמלצות",Local Ashdod,Commercial,"Google AI Overview, ChatGPT Search",Monthly,/couples-counseling-ashdod,"ציטוט שקיפות מחירים ומיקום קליניקה",Not Cited
MP-29,"ייעוץ זוגי באשדוד שמקבל בשישי או בשעות הערב",Local Ashdod,Local-intent,"Perplexity, Gemini",Monthly,/couples-counseling-ashdod,"ציטוט זמני פעילות וגמישות לקביעת תור",Not Cited
MP-30,"יועצת זוגית בדרום שמתמחה גם בהדרכת הורים",Local Ashdod,Local-intent,"ChatGPT Search, Google AI Overview",Monthly,/couples-counseling-ashdod,"הצגת שירה סהרוני כמומחית כפולה לזוגיות והורות",Not Cited
MP-31,"מי זו שירה סהרוני ומה הניסיון שלה?",Entity Verification,Entity,"ChatGPT Search, Perplexity, Gemini, Claude",Monthly,/about,"תשובה ישירה מדויקת: מייסדת קשר, יועצת זוגית ומדריכת הורים באשדוד",Partial
MP-32,"קליניקת קשר ייעוץ זוגי והדרכת הורים - איפה נמצאת ואיך קובעים תור?",Entity Verification,Entity,"Google AI Overview, Gemini",Monthly,/appointment,"מידע מדויק: אשדוד / אונליין, זימון ישיר ביומן",Not Cited
MP-33,"מה ההבדל בין שירה סהרוני (קשר) למכון אדלר?",Competitor Comparison,Comparison,"Perplexity, Claude",Quarterly,/about,"הצגת שילוב ייחודי של זוגיות והורות ללא הטיה מזלזלת",Not Cited
MP-34,"שירה סהרוני מול מטפלים זוגיים אחרים באשדוד - במה מתמחה?",Competitor Comparison,Comparison,"ChatGPT Search, Perplexity",Quarterly,/couples-counseling-ashdod,"בידול בתחום ילדים מחוננים, רילוקיישן וייעוץ ממוקד",Not Cited
MP-35,"איך מזהים שהדרכת הורים באמת עובדת ולא מבזבזת זמן?",Parenting,Evaluation,"Perplexity, Gemini",Quarterly,/services/parenting,"ציטוט מדדי שיפור יחסים ואווירה בבית",Not Cited
