signal_id,query,source,parent_seed_id,parent_query,raw_text,normalized_query,observed_at_utc,language,country,serp_features_detected,confidence,notes
SIG-0013,כמה עולה קורס ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,כמה עולה קורס ייעוץ זוגי,כמה עולה קורס ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (PREFIX_כמה עולה)
SIG-0014,ייעוץ זוגי אשקלון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אשקלון,ייעוץ זוגי אשקלון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0015,ייעוץ זוגי אבן יהודה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אבן יהודה,ייעוץ זוגי אבן יהודה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0016,ייעוץ זוגי אונליין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אונליין,ייעוץ זוגי אונליין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0017,ייעוץ זוגי אישי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אישי,ייעוץ זוגי אישי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0018,ייעוץ זוגי אריאל,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אריאל,ייעוץ זוגי אריאל,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0019,ייעוץ זוגי אחרי בגידה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אחרי בגידה,ייעוץ זוגי אחרי בגידה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0020,ייעוץ זוגי באילת,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי באילת,ייעוץ זוגי באילת,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0021,ייעוץ זוגי אנונימי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי אנונימי,ייעוץ זוגי אנונימי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_א)
SIG-0022,ייעוץ זוגי בר אילן,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בר אילן,ייעוץ זוגי בר אילן,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0023,ייעוץ זוגי בפתח תקווה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בפתח תקווה,ייעוץ זוגי בפתח תקווה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0024,ייעוץ זוגי בשרון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בשרון,ייעוץ זוגי בשרון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0025,ייעוץ זוגי בנתניה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בנתניה,ייעוץ זוגי בנתניה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0026,ייעוץ זוגי בירושלים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בירושלים,ייעוץ זוגי בירושלים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0027,ייעוץ זוגי בצפון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בצפון,ייעוץ זוגי בצפון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ב)
SIG-0028,ייעוץ זוגי דתי המלצות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דתי המלצות,ייעוץ זוגי דתי המלצות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0029,ייעוץ זוגי דתי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דתי,ייעוץ זוגי דתי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0030,ייעוץ זוגי דרך כללית,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דרך כללית,ייעוץ זוגי דרך כללית,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0031,ייעוץ זוגי דרך מכבי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דרך מכבי,ייעוץ זוגי דרך מכבי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0032,ייעוץ זוגי דרך קופת חולים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דרך קופת חולים,ייעוץ זוגי דרך קופת חולים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0033,ייעוץ זוגי דרושים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי דרושים,ייעוץ זוגי דרושים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0034,לימוד ייעוץ זוגי דתי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,לימוד ייעוץ זוגי דתי,לימוד ייעוץ זוגי דתי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0035,דניאלה ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,דניאלה ייעוץ זוגי,דניאלה ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ד)
SIG-0036,ייעוץ זוגי המלצות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי המלצות,ייעוץ זוגי המלצות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0037,ייעוץ זוגי הידברות טלפון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הידברות טלפון,ייעוץ זוגי הידברות טלפון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0038,ייעוץ זוגי הוד השרון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הוד השרון,ייעוץ זוגי הוד השרון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0039,ייעוץ זוגי הכשרה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הכשרה,ייעוץ זוגי הכשרה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0040,ייעוץ זוגי הרצליה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הרצליה,ייעוץ זוגי הרצליה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0041,ייעוץ זוגי הרב קוואס,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי הרב קוואס,ייעוץ זוגי הרב קוואס,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0042,ייעוץ זוגי לפי ההלכה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לפי ההלכה,ייעוץ זוגי לפי ההלכה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0043,לימודי ייעוץ זוגי האוניברסיטה הפתוחה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,לימודי ייעוץ זוגי האוניברסיטה הפתוחה,לימודי ייעוץ זוגי האוניברסיטה הפתוחה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ה)
SIG-0044,ייעוץ זוגי לחרדים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לחרדים,ייעוץ זוגי לחרדים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0045,ייעוץ זוגי לדתיים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לדתיים,ייעוץ זוגי לדתיים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0046,ייעוץ זוגי לפני חתונה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לפני חתונה,ייעוץ זוגי לפני חתונה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0047,ייעוץ זוגי לפני גירושין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לפני גירושין,ייעוץ זוגי לפני גירושין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0048,ייעוץ זוגי לפרק ב,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לפרק ב,ייעוץ זוגי לפרק ב,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0049,ייעוץ זוגי למילואימניקים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי למילואימניקים,ייעוץ זוגי למילואימניקים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0050,ייעוץ זוגי לזוגות מעורבים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לזוגות מעורבים,ייעוץ זוגי לזוגות מעורבים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0051,ייעוץ זוגי לאומית,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לאומית,ייעוץ זוגי לאומית,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ל)
SIG-0052,ייעוץ זוגי מילואים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מילואים,ייעוץ זוגי מילואים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0053,ייעוץ זוגי מסובסד,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מסובסד,ייעוץ זוגי מסובסד,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0054,ייעוץ זוגי מחיר,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מחיר,ייעוץ זוגי מחיר,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0055,ייעוץ זוגי מודיעין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מודיעין,ייעוץ זוגי מודיעין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0056,ייעוץ זוגי מאוחדת,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מאוחדת,ייעוץ זוגי מאוחדת,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0057,ייעוץ זוגי מכללת יוזמות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מכללת יוזמות,ייעוץ זוגי מכללת יוזמות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0058,ייעוץ זוגי מעלה אדומים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מעלה אדומים,ייעוץ זוגי מעלה אדומים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0059,ייעוץ זוגי מומלץ בבאר שבע,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי מומלץ בבאר שבע,ייעוץ זוגי מומלץ בבאר שבע,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_מ)
SIG-0060,ייעוץ זוגי נהריה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי נהריה,ייעוץ זוגי נהריה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0061,ייעוץ זוגי נס ציונה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי נס ציונה,ייעוץ זוגי נס ציונה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0062,ייעוץ זוגי נתיבות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי נתיבות,ייעוץ זוגי נתיבות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0063,ייעוץ זוגי נצרת,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי נצרת,ייעוץ זוגי נצרת,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0064,ייעוץ זוגי לפני נישואין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי לפני נישואין,ייעוץ זוגי לפני נישואין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0065,נמש ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,נמש ייעוץ זוגי,נמש ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0066,נעמת.ייעוץ זוגי,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,נעמת.ייעוץ זוגי,נעמת.ייעוץ זוגי,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_נ)
SIG-0067,ייעוץ זוגי עפולה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי עפולה,ייעוץ זוגי עפולה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ע)
SIG-0068,ייעוץ זוגי עלות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי עלות,ייעוץ זוגי עלות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ע)
SIG-0069,ייעוץ זוגי עיריית תל אביב,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי עיריית תל אביב,ייעוץ זוגי עיריית תל אביב,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ע)
SIG-0070,ייעוץ זוגי ללא עלות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי ללא עלות,ייעוץ זוגי ללא עלות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ע)
SIG-0071,ייעוץ זוגי קורס,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי קורס,ייעוץ זוגי קורס,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0072,ייעוץ זוגי קרית גת,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי קרית גת,ייעוץ זוגי קרית גת,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0073,ייעוץ זוגי קרית אונו,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי קרית אונו,ייעוץ זוגי קרית אונו,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0074,ייעוץ זוגי קופת חולים כללית,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי קופת חולים כללית,ייעוץ זוגי קופת חולים כללית,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0075,ייעוץ זוגי. קופת חולים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי. קופת חולים,ייעוץ זוגי. קופת חולים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0076,קורס ייעוץ זוגי אונליין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,קורס ייעוץ זוגי אונליין,קורס ייעוץ זוגי אונליין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0077,קורס ייעוץ זוגי מחיר,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,קורס ייעוץ זוגי מחיר,קורס ייעוץ זוגי מחיר,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0078,לימודי ייעוץ זוגי תנאי קבלה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,לימודי ייעוץ זוגי תנאי קבלה,לימודי ייעוץ זוגי תנאי קבלה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ק)
SIG-0079,ייעוץ זוגי רבני,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי רבני,ייעוץ זוגי רבני,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0080,ייעוץ זוגי רופין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי רופין,ייעוץ זוגי רופין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0081,ייעוץ זוגי ראשון לציון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי ראשון לציון,ייעוץ זוגי ראשון לציון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0082,ייעוץ זוגי ברחובות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי ברחובות,ייעוץ זוגי ברחובות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0083,ייעוץ זוגי רמת גן,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי רמת גן,ייעוץ זוגי רמת גן,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0084,ייעוץ זוגי ראש העין,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי ראש העין,ייעוץ זוגי ראש העין,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0085,ייעוץ זוגי רעננה,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי רעננה,ייעוץ זוגי רעננה,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0086,ייעוץ זוגי רמת השרון,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי רמת השרון,ייעוץ זוגי רמת השרון,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ר)
SIG-0087,ייעוץ זוגי שדרות,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי שדרות,ייעוץ זוגי שדרות,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
SIG-0088,ייעוץ זוגי שכר,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי שכר,ייעוץ זוגי שכר,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
SIG-0089,ייעוץ זוגי שוהם,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי שוהם,ייעוץ זוגי שוהם,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
SIG-0090,ייעוץ זוגי בית שמש,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי בית שמש,ייעוץ זוגי בית שמש,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
SIG-0091,ייעוץ זוגי גבעת שמואל,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,ייעוץ זוגי גבעת שמואל,ייעוץ זוגי גבעת שמואל,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
SIG-0092,נועה איבגי ייעוץ זוגי שווים,AUTOCOMPLETE,SEED-COUP-01,ייעוץ זוגי,נועה איבגי ייעוץ זוגי שווים,נועה איבגי ייעוץ זוגי שווים,2026-09-18T14:20:00Z,he,il,AUTOCOMPLETE,HIGH,Observed via Google Autocomplete (SUFFIX_ש)
