topic,service_relation,existing_urls,coverage_level,apparent_search_relevance,commercial_relevance,evidence,needs_serp_research,notes
התפרצויות זעם וויסות רגשי אצל ילדים,הדרכת הורים,https://kesher.saharoni.com/blog/public-tantrums-emotional-regulation; https://kesher.saharoni.com/blog/child-after-school-restraint-collapse; https://kesher.saharoni.com/blog/bedtime-battles-emotional-regulation,STRONG,HIGH,HIGH,"מספר מאמרים מעמיקים בנושאי התפרצויות בציבור, התפרקות אחרי בי""ס, והשכבה. חשיפות ב-GSC.",YES,כאב הורי שכיח מאוד עם נפחי חיפוש גבוהים.
הנחיית הורים לילדים מחוננים ומצטיינים,שירות נישה (בידול),https://kesher.saharoni.com/services/gifted-parenting; https://kesher.saharoni.com/blog/gifted-children-framework-preparation; https://kesher.saharoni.com/blog/smart-youth-focus-tasks-organization; https://kesher.saharoni.com/blog/gifted-children-social-emotional-challenges,STRONG,HIGH,HIGH,עמוד שירות עשיר + 5+ מאמרים ממוקדים. זכה להפניית AI מ-ChatGPT ב-GA4.,YES,התמחות ייחודית של שירה; סמכות גבוהה ונכס תחרותי.
"מעברים חינוכיים (מוכנות לכיתה א', מעבר גן, חטיבה)",הדרכת הורים,https://kesher.saharoni.com/blog/first-grade-preparation-emotional-independence; https://kesher.saharoni.com/blog/preschool-separation-anxiety-morning-routine,PARTIAL,HIGH,MEDIUM,"מאמר מוכנות לכיתה א' קיים, מאמר נוסף בטיוטה (חסר h3). עונתי מאוד (קיץ/תחילת שנה).",YES,ביקוש עונתי חזק לקראת אוגוסט-ספטמבר.
התמודדות עם מתבגרים וחרדה חברתית של נוער,הדרכת הורים,https://kesher.saharoni.com/blog/connecting-with-withdrawn-teenager; (parenting-teen-social-anxiety בטיוטה קצרה 33 מילים),PARTIAL,HIGH,HIGH,מאמר אחד מפורסם על מתבגר מסתגר. טיוטה קצרה לא מפורסמת על חרדה חברתית.,YES,כאב הורי שכיח; דורש בחינת SERP להעמקה.
גישור זוגי ומשפחתי,שירות ליבה,https://kesher.saharoni.com/services/mediation,PARTIAL,MEDIUM,HIGH,"עמוד שירות מרכזי קיים. חסרים מאמרי בלוג תומכים סביב הליך גישור, הסכמים, הבדל מבית משפט.",YES,שירות בעל ערך כספי גבוה; חסר אשכול תוכן אינפורמטיבי תומך.
גישור זוגי מקומי באשדוד,שירות ליבה (לוקאלי),https://kesher.saharoni.com/couples-mediation-ashdod,STRONG,MEDIUM,HIGH,"דף נחיתה מקומי מותאם CRO, קישור מ-7 מאמרים, קישור ב-Header/Footer.",YES,נכס לוקאלי קיים.
זוגיות ברילוקיישן ועלייה,שירות נישה (בינלאומי),https://kesher.saharoni.com/services/couples-aliyah-relocation; https://kesher.saharoni.com/blog/relocation-career-loss-and-dependence; https://kesher.saharoni.com/blog/returning-to-israel-after-relocation-relationship; https://kesher.saharoni.com/blog/aliyah-partners-different-adjustment-pace,STRONG,MEDIUM,HIGH,עמוד שירות ייעודי + 4 מאמרי בלוג מאונדקסים. חשיפות ב-GSC במיקום 2.0. כניסות ישירות ב-GA4.,YES,נישה מבוססת באתר עם נוכחות אונליין וזום.
ליווי משפחות עולים ותושבים חוזרים,שירות נישה,https://kesher.saharoni.com/services/aliyah-families; https://kesher.saharoni.com/blog/aliyah-homesickness-balance; https://kesher.saharoni.com/blog/aliyah-couples-cultural-gaps,STRONG,MEDIUM,HIGH,עמוד שירות ייעודי + מאמרים על פערי תרבות וגעגועים.,YES,משרת משפחות במעבר לישראל.
רווקות מאוחרת ושחיקה מדייטים,שירות נישה,https://kesher.saharoni.com/services/late-singleness; https://kesher.saharoni.com/blog/dating-fatigue-resilience; https://kesher.saharoni.com/blog/late-singleness-missed-opportunity-feeling,STRONG,MEDIUM,HIGH,עמוד שירות ייעודי + מאמר עייפות מדייטים שהניב קליק ב-GSC במיקום 4.0 וביקור אורגני ב-GA4.,YES,אימות ביצועים חי מ-GSC ומ-GA4.
ליווי למציאת זוגיות וניהול קשר בתחילתו,שירות נישה,https://kesher.saharoni.com/services/finding-relationship; https://kesher.saharoni.com/blog/new-relationship-initial-intentions; https://kesher.saharoni.com/blog/dating-transition-to-relationship-boundaries; https://kesher.saharoni.com/blog/dating-second-chance-criteria,STRONG,HIGH,HIGH,"עמוד שירות ייעודי + 2 מאמרים שהניבו שאילתות חשופות ב-GSC (פגישה ראשונה, לא להראות התלהבות בתחילת קשר).",YES,במוקד הפרויקט הנוכחי מול נתוני GSC מאומתים.
הרצאות וסדנאות לארגונים,שירות B2B,https://kesher.saharoni.com/lectures,PARTIAL,MEDIUM,HIGH,עמוד שירות קיים שקיבל חשיפה ב-GSC (מיקום 2.0). אין תוכן מאמרים תומך.,YES,ערוץ הכנסה משני/B2B.
ייעוץ זוגי / הדרכת הורים לציבור דתי וחרדי,לא ממוצב באתר,NONE,NONE,UNKNOWN,LOW,"בדיקת קוד ומאמרים: המילים ""דתי"", ""חרדי"", ""מגזר"" אינן קיימות באתר בהקשר מיצוב שירותי. האתר פונה לקהל כללי.",YES,מוגדר כ-NOT_POSITIONED כרגע. מחייב בחינת SERP והכרעה אסטרטגית מול ChatGPT לפני כל פעולה.
